A,B,C,D,E,F,Sector,Industry,I,L,M,N,O,P,Q,R,S,Company
107162,-2.9,12313,3287968,12.4,7000,Diversified Financials,Financials,20,7000,107162,12313,3287968,6071,11.5,0.4,202.8,Fannie Mae
107117,0.3,9614.3,246446,-5.2,463712,Telecommunications,Telecommunications,17,463712,107117,9614.3,246446,130459,9,3.9,7.4,China Mobile Communications
105486,4.4,24733,2490972,1.2,243355,Banks: Commercial and Savings,Financials,23,243355,105486,24733,2490972,254190,23.4,1,9.7,J.P. Morgan Chase
105235,442.3,1697.9,577954,3.4,8939,"Insurance: Life, Health (stock)",Financials,17,8939,105235,1697.9,577954,8579,1.6,0.3,19.8,Legal & General Group
105128,9.4,7384.4,190740,20.2,274844,Telecommunications,Telecommunications,23,274844,105128,7384.4,190740,81254,7,3.9,9.1,Nippon Telegraph & Telephone
104818,3.5,162.4,483026,-96.1,143676,"Insurance: Life, Health (stock)",Financials,15,143676,104818,162.4,483026,14079,0.2,,1.2,China Life Insurance
104130,1.8,7589.4,198835,7.4,124729,Motor Vehicles and Parts,Motor Vehicles & Parts,23,124729,104130,7589.4,198835,49682,7.3,3.8,15.3,BMW Group
100288,-1.4,3404.4,51745,37.5,25600,Health Care: Pharmacy and Other Services,Health Care,15,25600,100288,3404.4,51745,16236,3.4,6.6,21,Express Scripts Holding
98098,0.9,750.8,41230,-39.3,4107,Trading,Wholesalers,3,4107,98098,750.8,41230,5548,0.8,1.8,13.5,Trafigura Group
96979,-2.5,924.1,108864,-6,292215,"Engineering, Construction",Engineering & Construction,3,292215,96979,924.1,108864,10806,1,0.8,8.6,China Railway Engineering
96965,53.7,2592.8,581221,-34.2,23673,"Insurance: Life, Health (stock)",Financials,22,23673,96965,2592.8,581221,18117,2.7,0.4,14.3,Prudential
95217,-7.2,2301.3,549656,2.2,73727,"Insurance: Life, Health (stock)",Financials,23,73727,95217,2301.3,549656,25886,2.4,0.4,8.9,Assicurazioni Generali
94877,-0.8,1192.4,109968,7.8,336872,"Engineering, Construction",Engineering & Construction,6,336872,94877,1192.4,109968,10146,1.3,1.1,11.8,China Railway Construction
94595,6.9,7957,42966,13.5,406000,Specialty Retailers,Retailing,23,406000,94595,7957,42966,4333,8.4,18.5,183.6,Home Depot
94571,-1.6,4895,89997,-5.4,150540,Aerospace and Defense,Aerospace & Defense,23,150540,94571,4895,89997,817,5.2,5.4,599.1,Boeing
94176,4.6,21938,1930115,-4.2,269100,Banks: Commercial and Savings,Financials,20,269100,94176,21938,1930115,199581,23.3,1.1,11,Wells Fargo
93662,0.7,17906,2187702,12.7,208024,Banks: Commercial and Savings,Financials,23,208024,93662,17906,2187702,266840,19.1,0.8,6.7,Bank of America Corp.
91382,-8.1,14222.6,277262,10.4,467400,Energy,Energy,21,467400,91382,14222.6,277262,181813,15.6,5.1,7.8,Gazprom
90814,-1.6,8659.2,129824,-8.1,328000,Food Consumer Products,"Food, Beverages & Tobacco",23,328000,90814,8659.2,129824,63573,9.5,6.7,13.6,Nestle
90272,20.4,19478,167497,19.1,72053,Internet Services and Retailing,Technology,9,72053,90272,19478,167497,139036,21.6,11.6,14,Alphabet
88419,0.9,6050.5,141271,-27.4,351000,Industrial Machinery,Industrials,23,351000,88419,6050.5,141271,38444,6.8,4.3,15.7,Siemens
87112,-0.4,825,51513,-24.1,384151,Food and Drug Stores,Food & Drug Stores,23,384151,87112,825,51513,10996,0.9,1.6,7.5,Carrefour
86194,4.1,1415,59532,-4.4,189795,Motor Vehicles and Parts,Motor Vehicles & Parts,8,189795,86194,1415,59532,11464,1.6,2.4,12.3,Dongfeng Motor
85320,-8.8,16798,193694,37.8,114000,Computer Software,Technology,20,114000,85320,16798,193694,71997,19.7,8.7,23.3,Microsoft
84863,7.2,2469.8,65083,-3.5,53000,Health Care: Insurance and Managed Care,Health Care,16,53000,84863,2469.8,65083,25100,2.9,3.8,9.8,Anthem
84558,1.2,2134.3,86742,48.8,303887,"Electronics, Electrical Equip.",Technology,23,303887,84558,2134.3,86742,26632,2.5,2.5,8,Hitachi
82892,8.4,13163.4,221113,233.3,68402,Telecommunications,Telecommunications,10,68402,82892,13163.4,221113,32191,15.9,6,40.9,SoftBank Group
82801,-2.5,6860.7,1412281,3.7,185606,Banks: Commercial and Savings,Financials,23,185606,82801,6860.7,1412281,95906,8.3,0.5,7.2,Banco Santander
82386,-6.7,14912,1792077,-13.5,219000,Banks: Commercial and Savings,Financials,23,219000,82386,14912,1792077,225120,18.1,0.8,6.6,Citigroup
81405,-16.3,-4838,246983,,68829,Petroleum Refining,Energy,23,68829,81405,-4838,246983,76779,-5.9,-2,-6.3,Petrobras
80869,3.3,2155.3,86348,-39.1,389281,Motor Vehicles and Parts,Motor Vehicles & Parts,23,389281,80869,2155.3,86348,36316,2.7,2.5,5.9,Robert Bosch
80832,5.3,2958.1,156597,-18,221000,Telecommunications,Telecommunications,23,221000,80832,2958.1,156597,30906,3.7,1.9,9.6,Deutsche Telekom
80701,-0.8,4659,148092,-17.9,129315,Motor Vehicles and Parts,Motor Vehicles & Parts,22,129315,80701,4659,148092,55639,5.8,3.1,8.4,Hyundai Motor
80403,7.9,8695,180500,6.5,159000,Telecommunications,Telecommunications,15,159000,80403,8695,180500,53943,10.8,4.8,16.1,Comcast
80258,-4.6,3914.7,1607501,0.4,70830,Banks: Commercial and Savings,Financials,23,70830,80258,3914.7,1607501,61460,4.9,0.2,6.4,Credit Agricole
79919,-3.1,11872,117470,-10,414400,Information Technology Services,Technology,23,414400,79919,11872,117470,18246,14.9,10.1,65.1,IBM
78740,-5.4,3152.8,297026,139.4,154808,Utilities,Energy,23,154808,78740,3152.8,297026,36319,4,1.1,8.7,Electricite de France
78511,24.9,5579.4,63837,-5,180000,Network and Other Communications Equipment,Technology,8,180000,78511,5579.4,63837,20159,7.1,8.7,27.7,Huawei Investment & Holding
78064,-7,2842,164096,16.7,62080,Utilities,Energy,23,62080,78064,2842,164096,36704,3.6,1.7,7.7,Enel
76132,0.6,350.3,256030,-94.4,68234,Insurance: Property and Casualty (Mutual),Financials,23,68234,76132,350.3,256030,87592,0.5,0.1,0.4,State Farm Insurance Cos.
75776,-1,2580.2,158291,3.7,420572,Pharmaceuticals,Health Care,8,420572,75776,2580.2,158291,23605,3.4,1.6,10.9,China Resources National
75772,11.8,103.9,78223,108.6,274760,General Merchandisers,Retailing,23,274760,75772,103.9,78223,9567,0.1,0.1,1.1,AEON
75329,-15.4,2479,2374986,-81.7,241000,Banks: Commercial and Savings,Financials,23,241000,75329,2479,2374986,175386,3.3,0.1,1.4,HSBC Holdings
74629,2.2,3168.1,48196,-1.2,362128,"Engineering, Construction",Engineering & Construction,4,362128,74629,3168.1,48196,19835,4.2,6.6,16,Pacific Construction Group
74628,105.9,948.8,544063,-32.3,29530,"Insurance: Life, Health (stock)",Financials,23,29530,74628,948.8,544063,21004,1.3,0.2,4.5,Aviva
74407,,-3557.5,51541,,12890,Energy,Energy,1,12890,74407,-3557.5,51541,12889,-4.8,-6.9,-27.6,Uniper
74393,-15.1,-52.7,57052,-125.3,342770,Food and Drug Stores,Food & Drug Stores,23,342770,74393,-52.7,57052,8011,-0.1,-0.1,-0.7,Tesco
73692,-4.9,-458.9,167158,,153090,Energy,Energy,22,153090,73692,-458.9,167158,41740,-0.6,-0.3,-1.1,Engie
73628,3,1100.3,117204,-63.2,133782,Aerospace and Defense,Aerospace & Defense,23,133782,73628,1100.3,117204,3857,1.5,0.9,28.5,Airbus Group
72579,107.4,659.7,85332,-86,84000,Petroleum Refining,Energy,2,84000,72579,659.7,85332,10858,0.9,0.8,6.1,SK Holdings
72396,-16.9,1555,51653,-63.2,14800,Petroleum Refining,Energy,5,14800,72396,1555,51653,22390,2.1,3,6.9,Phillips 66
71890,2.6,16540,141208,7.3,126400,Pharmaceuticals,Health Care,17,126400,71890,16540,141208,70418,23,11.7,23.5,Johnson & Johnson
71726,-8.9,10508,127136,49.3,105000,Household and Personal Products,Household Products,23,105000,71726,10508,127136,57341,14.7,8.3,18.3,Procter & Gamble
71498,3.7,-5591,25219,,574349,"Mail, Package, and Freight Delivery",Transportation,23,574349,71498,-5591,25219,-55982,-7.8,-22.2,,U.S. Postal Service
71242,-4.6,2329.8,99187,4.8,302421,Utilities,Energy,13,302421,71242,2329.8,99187,38384,3.3,2.3,6.1,China Southern Power Grid
71151,1.5,580.3,51857,-61,232817,Aerospace and Defense,Aerospace & Defense,8,232817,71151,580.3,51857,7508,0.8,1.1,7.7,China South Industries Group
70897,-16.3,3090.6,82179,-35.1,105500,Petroleum Refining,Energy,18,105500,70897,3090.6,82179,52783,4.4,3.8,5.9,Lukoil
70751,4.4,1431.3,146763,-16.2,152666,"Engineering, Construction",Engineering & Construction,10,152666,70751,1431.3,146763,14824,2,1,9.7,China Communications Construction
70517,25.5,4410.1,1302721,22.6,102827,Banks: Commercial and Savings,Financials,8,102827,70517,4410.1,1302721,64820,6.3,0.3,6.8,Groupe BPCE
70170,3.9,676.4,158519,-45.1,128400,"Electronics, Electrical Equip.",Technology,23,128400,70170,676.4,158519,22415,1,0.4,3,Sony
70166,-14.2,2289,46173,-42.6,9996,Petroleum Refining,Energy,17,9996,70166,2289,46173,20024,3.3,5,11.4,Valero Energy
69495,-5.8,2737,37431,-18.6,323000,General Merchandisers,Retailing,23,323000,69495,2737,37431,10953,3.9,7.3,25,Target
69335,-1.1,4284,1457753,-3.5,151341,Banks: Commercial and Savings,Financials,21,151341,69335,4284,1457753,65338,6.2,0.3,6.6,Societe Generale
68700,-1.1,2853.1,282435,-17.2,43428,Insurance: Property and Casualty (Stock),Financials,23,43428,68700,2853.1,282435,33238,4.2,1,8.6,Munich Re Group
67775,6.7,1378.4,53702,0.2,257533,"Electronics, Electrical Equip.",Technology,23,257533,67775,1378.4,53702,14109,2,2.6,9.8,Panasonic
67388,0.4,2786.9,650429,-17.1,85171,"Insurance: Life, Health (Mutual)",Financials,23,85171,67388,2786.9,650429,17261,4.1,0.4,16.1,Nippon Life Insurance
67245,11,3211,382679,74.3,52473,Insurance: Property and Casualty (Stock),Financials,23,52473,67245,3211,382679,30660,4.8,0.8,10.5,Zurich Insurance Group
66876,21.4,6666.4,415972,-13.7,94779,Banks: Commercial and Savings,Financials,4,94779,66876,6666.4,415972,37680,10,1.6,17.7,Itau Unibanco Holding
66732,3.3,2144.3,134132,-31,188570,Insurance: Property and Casualty (Stock),Financials,8,188570,66732,2144.3,134132,18145,3.2,1.6,11.8,People’s Insurance Co. of China
65892,-2.8,1752.4,166595,-62,100821,"Mining, Crude-Oil Production",Energy,11,100821,65892,1752.4,166595,70827,2.7,1.1,2.5,China National Offshore Oil
65792,8.2,1433.7,61904,176.4,39952,Trading,Wholesalers,23,39952,65792,1433.7,61904,15113,2.2,2.3,9.5,Marubeni
65787,-3.8,2918.3,40387,70.8,459262,"Mail, Package, and Freight Delivery",Transportation,23,459262,65787,2918.3,40387,11693,4.4,7.2,25,Deutsche Post DHL Group
65665,3.4,7815,2023376,22.6,5982,Diversified Financials,Financials,21,5982,65665,7815,2023376,5075,11.9,0.4,154,Freddie Mac
65605,-5.8,4980.3,1221649,18.7,941211,"Mail, Package, and Freight Delivery",Transportation,7,941211,65605,4980.3,1221649,43114,7.6,0.4,11.6,China Post Group
65547,105.6,-446.7,109334,,212406,Metals,Materials,11,212406,65547,-446.7,109334,4631,-0.7,-0.4,-9.6,China Minmetals
65208,38.2,2784.4,1010245,111.9,70433,Banks: Commercial and Savings,Financials,23,70433,65208,2784.4,1010245,59327,4.3,0.3,4.7,Lloyds Banking Group
65017,10.1,3093,34408,21.5,240000,Specialty Retailers,Retailing,20,240000,65017,3093,34408,6434,4.8,9,48.1,Lowe’s
64853,-9,665,28039,-13.6,196540,Food and Drug Stores,Food & Drug Stores,22,196540,64853,665,28039,5978,1,2.4,11.1,Metro
64806,18.1,-1672,118206,,138000,"Computers, Office Equipment",Technology,17,138000,64806,-1672,118206,13243,-2.6,-1.4,-12.6,Dell Technologies
64784,3.1,2411.3,54772,-25.9,122323,Motor Vehicles and Parts,Motor Vehicles & Parts,13,122323,64784,2411.3,54772,24489,3.7,4.4,9.8,China FAW Group
63641,-18.6,4485.3,80675,1.4,109543,Chemicals,Chemicals,23,109543,63641,4485.3,80675,33545,7,5.6,13.4,BASF
63629,1.8,1477.3,59767,,26247,Petroleum Refining,Energy,23,26247,63629,1477.3,59767,12829,2.3,2.5,11.5,JXTG Holdings
63476,-9.3,800,898764,-84.9,58000,"Insurance: Life, Health (stock)",Financials,23,58000,63476,800,898764,67309,1.3,0.1,1.2,MetLife
63324,-1.4,141.7,34713,-11.6,17353,Trading,Wholesalers,6,17353,63324,141.7,34713,3465,0.2,0.4,4.1,Tewoo Group
63155,4.7,2271,69146,-5,49500,Health Care: Insurance and Managed Care,Health Care,17,49500,63155,2271,69146,17881,3.6,3.3,12.7,Aetna
62799,-0.4,6329,74129,16.1,264000,Food Consumer Products,"Food, Beverages & Tobacco",23,264000,62799,6329,74129,11095,10.1,8.5,57,PepsiCo
62694,-32.6,-1619,131349,,33536,Petroleum Refining,Energy,23,33536,62694,-1619,131349,55934,-2.6,-1.2,-2.9,ENI
62387,1,1764.6,115819,2.9,413536,Telecommunications,Telecommunications,18,413536,62387,1764.6,115819,50919,2.8,1.5,3.5,China Telecommunications
62346,-7.9,1279,39769,-30.8,31800,Food Production,"Food, Beverages & Tobacco",23,31800,62346,1279,39769,17173,2.1,3.2,7.4,Archer Daniels Midland
61326,-0.5,853,53140,6.2,234771,Aerospace and Defense,Aerospace & Defense,8,234771,61326,853,53140,13401,1.4,1.6,6.4,China North Industries Group
61265,-5,204.5,72072,-23,101708,Trading,Wholesalers,23,101708,61265,204.5,72072,11029,0.3,0.3,1.9,COFCO
61130,11.3,1260.6,57783,14.9,134765,Motor Vehicles and Parts,Motor Vehicles & Parts,5,134765,61130,1260.6,57783,8037,2.1,2.2,15.7,Beijing Automotive Group
60906,4.4,3431,40377,-29.2,335520,"Mail, Package, and Freight Delivery",Transportation,23,335520,60906,3431,40377,405,5.6,8.5,847.2,UPS
60800,124,3883.9,430040,0.9,40707,"Insurance: Life, Health (Mutual)",Financials,1,40707,60800,3883.9,430040,20372,6.4,0.9,19.1,Anbang Insurance Group
59749,-1.5,1913.1,47620,91.8,175341,Motor Vehicles and Parts,Motor Vehicles & Parts,23,175341,59749,1913.1,47620,13348,3.2,4,14.3,Peugeot
59678,1.6,-373.3,23755,,273000,Food and Drug Stores,Food & Drug Stores,13,273000,59678,-373.3,23755,1371,-0.6,-1.6,-27.2,Albertsons Cos.
59590,-2.5,2134.5,466617,43.5,62606,"Insurance: Life, Health (stock)",Financials,23,62606,59590,2134.5,466617,11675,3.6,0.5,18.3,Dai-ichi Life Holdings
59533,-1.9,468,57484,,60576,Trading,Wholesalers,22,60576,59533,468,57484,9195,0.8,0.8,5.1,Sinochem Group
59387,7.3,10316,113327,-9.7,106000,Semiconductors and Other Electronic Components,Technology,23,106000,59387,10316,113327,66226,17.4,9.1,15.6,Intel
59303,2.8,4063.5,141402,,77164,Trading,Wholesalers,23,77164,59303,4063.5,141402,44137,6.9,2.9,9.2,Mitsubishi
58862,-2.2,652.4,38537,13.5,342709,Food and Drug Stores,Food & Drug Stores,21,342709,58862,652.4,38537,10593,1.1,1.7,6.2,Auchan Holding
58789,50.5,483.3,448666,-38.7,29380,"Insurance: Life, Health (stock)",Financials,22,29380,58789,483.3,448666,25647,0.8,0.1,1.9,Aegon
58779,2.9,4368,783962,-22.6,49739,"Insurance: Life, Health (stock)",Financials,23,49739,58779,4368,783962,45863,7.4,0.6,9.5,Prudential Financial
58611,-5,-6904,165420,,111556,Telecommunications,Telecommunications,18,111556,58611,-6904,165420,77211,-11.8,-4.2,-8.9,Vodafone Group
58292,-1.4,5732.7,59512,5.3,168832,Household and Personal Products,Household Products,23,168832,58292,5732.7,59512,17247,9.8,9.6,33.2,Unilever
58093,-13.4,2013.8,426416,-52.3,100622,Banks: Commercial and Savings,Financials,23,100622,58093,2013.8,426416,26551,3.5,0.5,7.6,Banco do Brasil
57774,-21.4,-10256.3,113115,,125689,"Mining, Crude-Oil Production",Energy,23,125689,57774,-10256.3,113115,-59909,-17.8,-9.1,,Pemex
57544,-5.5,2619.7,130396,283.4,127323,Telecommunications,Telecommunications,23,127323,57544,2619.7,130396,19149,4.6,2,13.7,Telefonica
