A,B,C,D,E,F,Sector,Industry,I,L,M,N,O,P,Q,R,S,Company
24403,50.3,2004.2,148659,-10.5,8370,Banks: Commercial and Savings,Financials,1,8370,24403,2004.2,148659,7550,8.2,1.3,26.5,Mercantil Servicios Financieros
24397,5.8,4031.9,46696,18.6,84183,Computer Software,Technology,2,84183,24397,4031.9,46696,27817,16.5,8.6,14.5,SAP
24360,-21.3,-3615,89772,,13300,"Mining, Crude-Oil Production",Energy,23,13300,24360,-3615,89772,34974,-14.8,-4,-10.3,ConocoPhillips
24284,-14.2,11.1,30793,,146236,"Mining, Crude-Oil Production",Energy,5,146236,24284,11.1,30793,1783,,,0.6,Yangquan Coal Industry Group
24267,-2.4,1902.1,46350,33.8,99187,Food Consumer Products,"Food, Beverages & Tobacco",23,99187,24267,1902.1,46350,13825,7.8,4.1,13.8,Danone
24217,105.2,92.5,36816,-96.2,13898,"Engineering, Construction",Engineering & Construction,1,13898,24217,92.5,36816,15155,0.4,0.3,0.6,Samsung C&T
24087,-15.9,-106.9,29026,,95666,"Mining, Crude-Oil Production",Energy,5,95666,24087,-106.9,29026,2542,-0.4,-0.4,-4.2,Shanxi LuAn Mining Group
24069,3.5,2211,30052,6.6,63000,Aerospace and Defense,Aerospace & Defense,22,63000,24069,2211,30052,10066,9.2,7.4,22,Raytheon
24060,8.5,2210.4,24549,9.3,126418,"Electronics, Electrical Equip.",Technology,2,126418,24060,2210.4,24549,8796,9.2,9,25.1,Midea Group
24028,1.1,1058.2,48580,-25.2,30635,Utilities,Energy,23,30635,24028,1058.2,48580,14695,4.4,2.2,7.2,Chubu Electric Power
24011,-6.4,1232.3,28383,-12.1,76000,Aerospace and Defense,Aerospace & Defense,23,76000,24011,1232.3,28383,4247,5.1,4.3,29,BAE Systems
24005,-14.7,734,20398,-52.3,6308,Petroleum Refining,Energy,11,6308,24005,734,20398,5465,3.1,3.6,13.4,Andeavor
23871,-9.7,243.9,101631,32.9,97091,Energy,Energy,8,97091,23871,243.9,101631,7371,1,0.2,3.3,China Datang
23863,-2.3,319.6,12593,-28,200000,Semiconductors and Other Electronic Components,Technology,17,200000,23863,319.6,12593,2645,1.3,2.5,12.1,Flex
23825,2.3,522.8,14206,5,18700,Wholesalers: Electronics and Office Equipment,Wholesalers,4,18700,23825,522.8,14206,4413,2.2,3.7,11.8,Arrow Electronics
23793,65.9,,4982,,12369,Metals,Materials,7,12369,23793,,4982,3160,,,,Heraeus Holding
23773,-10.9,252.1,10769,-7.9,64728,"Computers, Office Equipment",Technology,6,64728,23773,252.1,10769,3283,1.1,2.3,7.7,Compal Electronics
23657,11.5,159.2,24231,-59,10234,Diversified Financials,Financials,1,10234,23657,159.2,24231,1925,0.7,0.7,8.3,Yango Financial Holding
23554,-6.8,5705,52359,8.2,30500,Semiconductors and Other Electronic Components,Technology,4,30500,23554,5705,52359,31778,24.2,10.9,18,Qualcomm
23551,9.7,285.1,11273,-2.1,13217,Wholesalers: Health Care,Wholesalers,8,13217,23551,285.1,11273,2993,1.2,2.5,9.5,Alfresa Holdings
23517,47.9,6489.5,73538,-42.2,50097,Internet Services and Retailing,Technology,1,50097,23517,6489.5,73538,40454,27.6,8.8,16,Alibaba Group Holding
23456,-8.1,1144.2,25047,-12.7,95456,Energy,Energy,16,95456,23456,1144.2,25047,7345,4.9,4.6,15.6,Koc Holding
23441,12.4,1031,33428,-18.7,31721,Insurance: Property and Casualty (Stock),Financials,4,31721,23441,1031,33428,7957,4.4,3.1,13,Progressive
23369,-1,2152,132761,-23.6,28798,Utilities,Energy,14,28798,23369,2152,132761,41033,9.2,1.6,5.2,Duke Energy
23120,-1.7,1853.4,26705,43,105654,Motor Vehicles and Parts,Motor Vehicles & Parts,23,105654,23120,1853.4,26705,11178,8,6.9,16.6,Michelin
23044,27.9,1733.6,85124,17.4,94450,Real estate,Financials,1,94450,23044,1733.6,85124,10091,7.5,2,17.2,Country Garden Holdings
23044,-0.7,861.5,41469,-18.9,73525,Beverages,"Food, Beverages & Tobacco",11,73525,23044,861.5,41469,6958,3.7,2.1,12.4,Heineken Holding
23022,-14.8,2513.1,52194,-0.3,6800,Pipelines,Energy,7,6800,23022,2513.1,52194,22047,10.9,4.8,11.4,Enterprise Products Partners
23002,-6.9,3499,62526,23.9,59700,Pharmaceuticals,Health Care,19,59700,23002,3499,62526,14854,15.2,5.6,23.6,AstraZeneca
22991,6.1,7722,77626,11.3,19200,Pharmaceuticals,Health Care,2,19200,22991,7722,77626,29875,33.6,9.9,25.8,Amgen
22956,-4.4,828.3,698790,-15.1,40029,Banks: Commercial and Savings,Financials,23,40029,22956,828.3,698790,27232,3.6,0.1,3,Rabobank Group
22953,42.2,-1722.5,84805,,49732,Telecommunications,Telecommunications,1,49732,22953,-1722.5,84805,-2668,-7.5,-2,,Altice
22943,3.8,-130,42913,,161000,Semiconductors and Other Electronic Components,Technology,18,161000,22943,-130,42913,-490,-0.6,-0.3,,Onex
22919,-0.9,209.8,8945,25.2,25000,Wholesalers: Food and Grocery,Wholesalers,2,25000,22919,209.8,8945,2538,0.9,2.3,8.3,US Foods Holding
22875,-17,3,32954,,135691,"Mining, Crude-Oil Production",Energy,5,135691,22875,3,32954,2988,,,0.1,Shanxi Jincheng Anthracite Coal Mining Group
22873,7.3,650.2,9624,13,32280,Temporary Help,Business Services,5,32280,22873,650.2,9624,4366,2.8,6.8,14.9,Randstad Holding
22871,39.7,6185.9,56968,35,38775,Internet Services and Retailing,Technology,1,38775,22871,6185.9,56968,25128,27,10.9,24.6,Tencent Holdings
22840,-9,781.4,20606,-8.6,49094,"Electronics, Electrical Equip.",Technology,6,49094,22840,781.4,20606,10729,3.4,3.8,7.3,LG Display
22799,0.3,340.3,33096,-82.5,64768,Airlines,Transportation,2,64768,22799,340.3,33096,9395,1.5,1,3.6,Emirates Group
22744,5.8,5888,445964,0.2,71191,Banks: Commercial and Savings,Financials,12,71191,22744,5888,445964,47298,25.9,1.3,12.4,U.S. Bancorp
22618,4.6,2192.3,10681,-12.3,114586,Specialty Retailers,Retailing,2,114586,22618,2192.3,10681,6635,9.7,20.5,33,H & M Hennes & Mauritz
22559,8.1,2659,129819,5,10212,"Insurance: Life, Health (stock)",Financials,10,10212,22559,2659,129819,20482,11.8,2,13,Aflac
22477,-2,707.2,15766,-12.7,425594,Food Services,"Hotels, Restaurants & Leisure",18,425594,22477,707.2,15766,4085,3.1,4.5,17.3,Sodexo
22366,3.7,106,19738,-23.6,60354,Specialty Retailers,Retailing,1,60354,22366,106,19738,9455,0.5,0.5,1.1,Suning Commerce Group
22207,-11.4,1221.1,15969,42.1,2949,Petroleum Refining,Energy,6,2949,22207,1221.1,15969,8150,5.5,7.6,15,GS Caltex
22167,-2.3,447.5,7426,-0.8,15173,Energy,Energy,8,15173,22167,447.5,7426,2621,2,6,17.1,Ultrapar Holdings
22145,6.6,280.2,21729,15.6,18381,Trading,Wholesalers,1,18381,22145,280.2,21729,3985,1.3,1.3,7,Xiamen C&D
22138,-12,-2221,9362,,140000,General Merchandisers,Retailing,23,140000,22138,-2221,9362,-3824,-10,-23.7,,Sears Holdings
22113,-20.1,413.6,20860,-20.8,38589,"Engineering, Construction",Engineering & Construction,4,38589,22113,413.6,20860,5114,1.9,2,8.1,China General Technology
22036,-3.2,10150.6,82310,160.2,22132,Utilities,Energy,12,22132,22036,10150.6,82310,25463,46.1,12.3,39.9,National Grid
21987,7.9,1251.1,11672,7.4,121000,Specialty Retailers,Retailing,1,121000,21987,1251.1,11672,5406,5.7,10.7,23.1,Dollar General
21941,-17.4,1999.4,74295,,61227,Telecommunications,Telecommunications,18,61227,21941,1999.4,74295,22366,9.1,2.7,8.9,Telecom Italia
21930,34.3,35.6,12161,-25.1,18454,Trading,Wholesalers,1,18454,21930,35.6,12161,1066,0.2,0.3,3.3,Xiamen ITG Holding Group
21919,31.1,251.8,31957,49.9,65616,Trading,Wholesalers,1,65616,21919,251.8,31957,4563,1.1,0.8,5.5,Xinjiang Guanghui Industry Investment
21903,11.5,329,92890,-79.3,56960,Pharmaceuticals,Health Care,1,56960,21903,329,92890,33337,1.5,0.4,1,Teva Pharmaceutical Industries
21796,-13.3,743.9,100609,-45.6,54378,"Insurance: Life, Health (stock)",Financials,2,54378,21796,743.9,100609,8507,3.4,0.7,8.7,New China Life Insurance
21741,-11.3,406.4,11630,20.4,77210,Food and Drug Stores,Food & Drug Stores,13,77210,21741,406.4,11630,5111,1.9,3.5,8,Wm. Morrison Supermarkets
21655,-5.5,1151.7,16247,195.5,66779,Travel Services,Business Services,23,66779,21655,1151.7,16247,3006,5.3,7.1,38.3,TUI
21609,3.6,430.5,10060,-2.7,26000,Specialty Retailers,Retailing,12,26000,21609,430.5,10060,2310,2,4.3,18.6,AutoNation
